Date,Open,High,Low,Close,Volume
1/10/2024,178,178.4,178,178.4,420
1/9/2024,178,178,177,178,940
1/8/2024,177.8,180,177.8,179.9,"1,310"
1/5/2024,176.4,177.8,175,177.8,"4,330"
1/4/2024,176.9,176.9,175.1,176,"2,620"
1/3/2024,176.8,177,171.5,177,150
1/2/2024,175.3,176.8,171.1,176.8,"2,670"
12/29/2023,171,171,170,170,20
12/28/2023,175.4,175.4,174.8,175.4,"5,100"
12/27/2023,175,175,170.2,170.2,360
12/22/2023,175,175,175,175,230
12/21/2023,173,174.8,173,174.8,"2,100"
12/20/2023,174.1,174.7,172,172,"8,150"
12/19/2023,174.2,176.4,174,176.4,"2,710"
12/18/2023,175,176,174.2,175,320
12/15/2023,175,175,172.5,175,600
12/14/2023,175,175,172,175,"5,210"
12/13/2023,172,174.5,172,174.5,"8,830"
12/12/2023,171.1,174,171.1,172,"5,760"
12/11/2023,172.9,172.9,171.1,171.1,30
12/7/2023,172,172,172,172,380
12/6/2023,168,171.9,168,168,"3,930"
12/5/2023,172.9,172.9,168,168,"2,150"
12/4/2023,167,172.9,167,172.9,810
12/1/2023,172,172,171,171,"1,940"
11/30/2023,169,170.5,168,168,390
11/29/2023,172,172,169.5,171,"5,550"
11/28/2023,171,174,171,172,750
11/24/2023,171,171,171,171,100
11/23/2023,176,176,170,170,"10,720"
11/22/2023,170,175,170,175,250
11/21/2023,170,170,170,170,40
11/20/2023,175,175,175,175,"6,070"
11/17/2023,174.5,174.5,174.5,174.5,270
11/16/2023,170,175,170,174.9,160
11/15/2023,173.9,174,170,170,"3,160"
11/14/2023,171.5,171.5,170,170,510
11/13/2023,174,174,171.5,174,660
11/10/2023,174.8,174.8,174.5,174.5,50
11/9/2023,174,174,174,174,10
11/7/2023,173.8,175,173.8,174,"4,440"
11/6/2023,173.8,174,173.8,174,"4,330"
11/3/2023,170,174.9,170,174,970
10/31/2023,170,171,169,169,"2,000"
10/26/2023,169.9,170,166.5,170,"1,910"
10/25/2023,172,172,169,169,800
10/24/2023,175,175,172,172,450
10/23/2023,174,175,174,174.8,210
10/20/2023,175,175.2,174,174,"2,890"
10/19/2023,177,177.5,175,175,"4,320"
10/18/2023,176.7,176.8,174.5,174.5,"2,860"
10/17/2023,175,175,174.1,175,"1,890"
10/16/2023,175,176.9,175,175,"1,570"
10/13/2023,174.5,176.9,174.5,175,"2,630"
10/12/2023,174.5,177,174.5,176.9,"2,550"
10/11/2023,177,177.6,174,174.1,"1,910"
10/10/2023,176.2,177,174,177,"1,740"
10/9/2023,176.4,177.8,176.4,176.4,390
10/6/2023,177,177.8,175,176.4,"16,150"
10/5/2023,175,176,175,175,"2,320"
10/4/2023,176.4,176.5,175,175.1,"4,760"
10/3/2023,175.5,176.4,175.5,176.4,"4,940"
10/2/2023,172.4,176,172.4,175,"4,120"
9/29/2023,175,177.8,172.5,175.1,"2,510"
9/28/2023,172.6,175.1,172.6,175.1,"15,900"
9/27/2023,173,173,172.1,172.1,"1,720"
9/26/2023,172,173,172,173,"9,890"
9/25/2023,171.9,172,169.1,171,690
9/22/2023,172,172,170,171,"9,440"
9/21/2023,171.8,172,169.8,170,"12,770"
9/20/2023,171,171.9,169,170,"5,860"
9/19/2023,168.1,170.9,168,169.9,"5,840"
9/18/2023,171,172,166.5,167.2,"13,060"
9/15/2023,166,169.5,166,166.1,"1,750"
9/14/2023,165,169,165,168,470
9/13/2023,167,167,165,165,550
9/12/2023,167,170,162.1,169.9,"4,410"
9/11/2023,162.1,170,162.1,167,"4,920"
9/8/2023,170,170,162,162,"30,510"
9/7/2023,164,170,164,170,"10,430"
9/6/2023,170,170,166,166,760
9/5/2023,171,171,167,167,"2,130"
9/4/2023,163.9,172,163.9,171,"15,210"
9/1/2023,161.1,162,161.1,162,"1,260"
8/31/2023,162.9,162.9,159.5,162,"21,880"
8/30/2023,163,163,161,161,"8,530"
8/29/2023,160.1,163.4,160.1,163,"3,720"
8/25/2023,161.9,161.9,160,161,"1,590"
8/24/2023,160.1,160.1,160.1,160.1,30
8/23/2023,160.3,161,160,160,"1,630"
8/22/2023,163.4,163.4,162,162,920
8/18/2023,163.9,163.9,162,162,230
8/17/2023,164,164,164,164,370
8/16/2023,164.5,168,164.5,165,"12,610"
8/15/2023,160.1,164.9,160,164,210
8/14/2023,163,164,160.3,160.3,410
8/11/2023,163.6,163.6,163,163,850
8/10/2023,160,163.8,160,163.8,540
